# code<TAB>method<TAB>characters; membership only, not ranking
chong	cantonese	創裝狀廠倉闖藏敞滄壯床牀莊葬蒼樁艙瘡傖贓臟髒䱽粧妝昶愴
chow	cantonese	周週洲州舟鄒謅
choy	cantonese	蔡
chu	cantonese	著註主住注諸株珠煮朱廚櫥豬駐鑄誅侏銖硃蛛茱
chue	cantonese	處儲署曙柱躇貯廚櫥褚佇苧躕杵
chuen	cantonese	傳全存吋寸川村邨穿揣串泉痊喘竄忖荃蹲湍汆詮佺銓恮烇牷筌絟輇駩醛釧氚瑔舛惴攢爨
chuet	cantonese	猝撮茁
chui	cantonese	隨除取趨趣催摧吹覷炊徐脆鎚錘娶搥槌捶翠璀崔椎隋廚櫥蜍啐淬橇
chuk	cantonese	速促束蓄蹴矗搐畜簇齪蹙涑
chum	cantonese	怎針浸斟枕覃
chun	cantonese	盡進準旬巡俊春准儘樽遵循峻竣晉秦諄蠢臻燼駿鶉椿皴
chung	cantonese	中重種終眾鐘從總充蹤縱匆衷綜衝蔥葱訟頌憧仲沖宗忠松腫聰盅囪囱淙鍾棕粽蟲寵誦叢欉涌舂塚鬃忡虫蓯冢銃驄荵翀
chut	cantonese	出齣
cut	cantonese	咳
d	cantonese	啲尐
da	cantonese	打
daai	cantonese	大帶歹戴獃呆
daam	cantonese	擔膽眈耽淡啖澹氮儋躭胆担叼髧
daan	cantonese	但旦單彈丹蛋憚誕鄲蜑殫𧩙
daap	cantonese	答踏搭疊瘩嗒荅沓耷傝蹋叠
daat	cantonese	達笪韃躂噠撻𢴈
dai	cantonese	大低第抵底弟帝遞逮砥隸詆蒂邸締諦棣牴娣渧碲柢悌觝胝
dak	cantonese	得特德突螣
dam	cantonese	抌沊揼黕紞澸丼衴耽髧
dan	cantonese	躉燉炖墩潡驐扽沌
dang	cantonese	等登鄧燈戥瞪凳櫈蹬澄
dap	cantonese	揼耷
dat	cantonese	突凸腯
dau	cantonese	糾鬥赳斗抖豆逗兜痘荳哣𢭃蚪陡竇鬭
de	cantonese	爹嗲
dei	cantonese	地哋
dek	cantonese	笛趯糴
deng	cantonese	訂釘盯掟頂叮埞疔
deuk	cantonese	剁啄琢涿斫
deung	cantonese	啄
dik	cantonese	的敵滴嫡滌迪廸嘀狄荻逖鏑
dim	cantonese	點店掂惦玷踮阽𠶧
din	cantonese	電典奠巔顛殿澱癲墊碘甸腆靛錠淀
ding	cantonese	定訂頂釘鼎丁叮盯酊汀町仃錠椗碇腚疔
dip	cantonese	碟疊諜蝶喋牒叠鰈
dit	cantonese	跌秩迭軼耋
diu	cantonese	調掉吊凋釣弔刁叼丟屌貂雕鵰彫碉鯛𨳒銩
do	cantonese	都導道到度倒盜渡蹈妒杜島睹悼刀堵稻賭鍍艔搗嘟蠹
doh	cantonese	多墮惰躲朵跺剁哆綞
doi	cantonese	待代袋玳岱怠黛
dok	cantonese	度踱鐸
dong	cantonese	當檔擋蕩盪黨噹璫鐺襠丼戙宕讜
du	cantonese	嘟
duen	cantonese	斷短段端鍛緞
duet	cantonese	奪嘟
dui	cantonese	對兌堆隊兑懟㨃
duk	cantonese	讀獨督毒黷篤瀆犢牘髑
dun	cantonese	鈍遁頓噸盹沌敦燉炖墩蹲
dung	cantonese	動懂東棟董慟冬洞凍幢咚恫胴峒戙硐
dut	cantonese	突凸
fa	cantonese	化花划
faai	cantonese	快傀塊筷
faan	cantonese	反凡煩犯翻範繁番返泛氾販飯瓣帆藩蕃范梵樊礬幡燔釩汎
faat	cantonese	發法髮琺砝醱
fai	cantonese	快費揮廢輝傀塊徽暉琿沸筷肺吠煇痱芾麾
fan	cantonese	反凡分份紛吩忿粉昏氛泛範繁翻返番帆芬訓瞓婚飯煩奮憤墳焚勳勛范梵樊薰熏燻醺蕃葷幡糞礬釩雰汾坋妢酚鈖蒶蕡昐枌玢砏秎羒翂衯魵賁
fang	cantonese	揈
fat	cantonese	發法乏彿忽弗伐囫拂佛髮罰閥筏惚氟狒窟笏琺砝芾
fau	cantonese	否浮剖埠阜
fe	cantonese	啡淝
fei	cantonese	非飛菲妃肥匪緋誹斐蜚翡啡扉霏痱腓淝悱
fing	cantonese	揈
fit	cantonese	弗
fo	cantonese	火科伙貨夥課顆棵蝌稞杝騍
foh	cantonese	火科伙貨夥課顆棵蝌稞杝騍
fok	cantonese	霍攫
fong	cantonese	方防放訪仿妨況彷房坊肪芳荒慌謊紡舫恍晃幌倣怳髣枋肓
foo	cantonese	附副符苦負付賦富婦庫赴呼輔撫敷膚傅扶仆夫伕父乎咐府斧芙虎俘枯俯訃釜孚腑孵腐褲甫琥唬骷駙麩戽蚹嘸袴頫
fooi	cantonese	灰恢悔詼晦誨魁喙奎煃
foon	cantonese	寬歡款髖盥
foot	cantonese	闊
fui	cantonese	灰恢悔詼晦誨魁喙奎煃鮪𡟼
fuk	cantonese	服幅覆復複腹福袱伏輻蝠馥茯
